Breed,Age,Weight,Gender,Color,Coat Length,Coat Type,Energy Level,Playfulness Level,is_brachycephalic,size_category,Spayed/Neutered,Indoor/Outdoor,Season,Sun Exposure,Wind Cooling Effect,Station_Temp,Station_Humidity,Ambient_Temp,Ambient_Humidity,T_device,H_device,breed_wt_mu,breed_wt_sd,ideal_weight,pct_of_ideal,BCS_cont,BCS,Temp_Diff,Hum_Diff,CBT_simulated,is_old,is_overweight,heat_stress_risk,High_humidity_fordogs,prior_heat_related_injury_est,simulated_heat_injury_flag,target2Category,target3Category
Rottweiler,7.4,18.2,Female,Gray,Short,Smooth,3.0,4.0,0.0,Medium,1,Indoor_Now,Winter,0.0,0.0,14.667807005630399,55.01221194215913,20.53,47.0,23.21,48.73,30.728813559322035,15.845224154137336,47.887328152886326,0.3800587901228109,2.520235160491244,3,2.68,1.73,38.247774929937556,0,0,0,0,0.0,0,0,Normal
Poodle,11.3,61.3,Male,Brindle,Long,Curly,4.0,5.0,0.0,Giant,1,Indoor_Now,Spring,0.0,0.0,21.750345460960922,88.4436337449607,21.95,53.69,26.06,63.42,33.540983606557376,15.44730156639211,50.796981479515225,1.2067646189709185,5.827058475883674,6,4.11,9.73,39.81133952510416,0,0,0,1,0.022,0,1,Heat Stress
Airedale Terrier,10.0,37.5,Male,Merle,Short,Wiry,3.0,3.0,0.0,Large,0,Outdoor_Now,Winter,1.6015377497364252,-0.41366378408046217,10.260923477720645,75.77800275132384,10.26,75.78,14.9,80.49,31.818181818181817,13.997474519687218,27.50536736528947,1.3633702652276989,6.4534810609107955,6,4.64,4.71,38.62980250325408,0,0,0,1,0.012,0,0,Normal
Havanese,6.5,52.6,Male,Red,Long,Double,3.0,5.0,0.0,Giant,1,Indoor_Now,Fall,0.0,0.0,33.01457980281205,73.19709671189008,24.2,50.64,28.59,59.02,31.563636363636363,16.215862874179983,47.457451294502725,1.1083612491868684,5.433444996747474,5,4.39,8.38,39.63410815451954,0,0,0,0,0.002,0,0,Normal
Labrador Retriever,5.8,45.4,Female,Black and Tan,Short,Double,5.0,5.0,0.0,Giant,1,Indoor_Now,Fall,0.0,0.0,28.248022011927187,69.61043325657327,23.25,49.92,26.34,56.39,31.923076923076923,15.760270419007453,35.9330169671665,1.2634619587184643,6.053847834873857,6,3.09,6.47,39.26850187602995,0,0,0,0,0.022,0,0,Normal
Beagle,1.1,35.6,Female,Black and Tan,Short,Smooth,4.0,4.0,0.0,Large,1,Outdoor_Now,Winter,2.3262205467752306,-0.3309208417102528,6.798256957487158,56.101823542999554,6.8,56.1,13.23,63.76,32.50909090909091,15.570476249611975,35.982934465345885,0.9893578867028014,4.957431546811206,5,6.43,7.66,38.96501365899557,0,0,0,1,0.002,0,0,Normal
Whippet,0.2,42.9,Male,Black and Tan,Short,Smooth,4.0,4.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,26.260588645128557,86.98618922211269,22.85,53.4,25.24,55.23,32.666666666666664,15.193293197726764,4.0477151470813055,10.598571895785204,43.394287583140816,9,2.39,1.83,39.21389371417687,0,1,1,0,0.052000000000000005,0,0,Normal
Doberman Pinscher,5.0,30.8,Female,White,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,8.557058440508111,73.61022409726282,19.31,50.72,22.07,51.98,30.075757575757574,16.58573122254428,27.50013282623349,1.119994590375892,5.479978361503568,5,2.76,1.26,38.12673955363965,0,0,0,0,0.002,0,0,Normal
Doberman Pinscher,5.0,30.8,Female,White,Short,Smooth,5.0,4.0,0.0,Large,0,Indoor_Now,Summer,0.0,0.0,24.979454863130513,90.7702897949161,22.6,54.15,25.06,59.21,30.075757575757574,16.58573122254428,26.855178746157257,1.1468923849336587,5.587569539734635,6,2.46,5.06,39.420836426767565,0,0,0,0,0.012,0,0,Normal
Akita,7.5,27.9,Male,Merle,Medium,Double,4.0,3.0,0.0,Large,0,Indoor_Now,Summer,0.0,0.0,35.27569604975268,79.60952173467723,24.66,51.92,27.13,57.93,31.686274509803923,14.360348458276954,31.78516163584582,0.8777680705117347,4.511072282046939,5,2.47,6.01,39.24517010228946,0,0,0,0,0.0,0,0,Normal
