Breed,Age (Years),Weight (kg),Color,Gender,breed_key,rank_recent,rank_mean,rank_missing_share,Gender_bin,size_class,age_bin
Airedale Terrier,13,35,White,Male,airedale terrier,62.0,57.375,0.0,0,large,senior
Jack Russell Terrier,10,43,Tan,Female,jack russell terrier,,,,1,large,senior
Dogo Argentino,2,16,Spotted,Female,argentino dogo,93.0,93.0,0.875,1,medium,adult
Labrador Retriever,9,57,Bicolor,Male,labrador retriever,1.0,1.0,0.0,0,giant,senior
French Bulldog,12,39,Spotted,Male,bulldog french,2.0,5.75,0.0,0,large,senior
French Bulldog,9,8,Black and Tan,Female,bulldog french,2.0,5.75,0.0,1,small,senior
Bull Terrier,7,54,Red,Female,bull terrier,64.0,58.125,0.0,1,giant,adult
Boxer,1,47,Black,Female,boxer,14.0,10.625,0.0,1,giant,puppy
Cocker Spaniel,13,5,Brindle,Male,cocker spaniel,30.0,29.375,0.0,0,small,senior
Shetland Sheepdog,1,11,Cream,Female,sheepdog shetland,27.0,23.75,0.0,1,medium,puppy
Whippet,3,38,Black and Tan,Female,whippet,59.0,58.875,0.0,1,large,adult
Weimaraner,4,34,Black and Tan,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Havanese,13,26,Tan,Female,havanese,24.0,23.75,0.0,1,large,senior
Beagle,3,19,Black and Tan,Female,beagle,7.0,5.625,0.0,1,medium,adult
Maltese,2,57,Spotted,Male,maltese,38.0,33.0,0.0,0,giant,adult
Maltese,12,27,White,Female,maltese,38.0,33.0,0.0,1,large,senior
Siberian Husky,10,32,Brindle,Male,husky siberian,16.0,13.5,0.0,0,large,senior
German Shepherd,6,8,Gray,Female,german shepherd,3.0,2.125,0.0,1,small,adult
Bloodhound,7,54,Brindle,Female,bloodhound,46.0,49.375,0.0,1,giant,adult
Bull Terrier,2,35,Blue,Male,bull terrier,64.0,58.125,0.0,0,large,adult
Havanese,13,44,White,Male,havanese,24.0,23.75,0.0,0,large,senior
Irish Setter,11,51,Bicolor,Female,irish setter,75.0,74.625,0.0,1,giant,senior
Maltese,12,28,Black,Male,maltese,38.0,33.0,0.0,0,large,senior
Doberman Pinscher,13,29,Black and Tan,Female,doberman pinscher,18.0,15.625,0.0,1,large,senior
Vizsla,9,48,Red,Female,vizsla,35.0,32.625,0.0,1,giant,senior
Bernese Mountain Dog,12,18,Gray,Male,bernese mountain,22.0,26.5,0.0,0,medium,senior
Shih Tzu,13,37,Tan,Female,shih tzu,20.0,18.875,0.0,1,large,senior
Yorkshire Terrier,8,37,Brown,Male,terrier yorkshire,13.0,9.0,0.0,0,large,senior
Boxer,12,55,Bicolor,Male,boxer,14.0,10.625,0.0,0,giant,senior
Boston Terrier,8,59,Black,Male,boston terrier,21.0,21.625,0.0,0,giant,senior
Chinese Shar-Pei,4,54,Tan,Female,chinese pei shar,61.0,60.875,0.0,1,giant,adult
Pug,5,30,Brown,Female,pug,29.0,31.0,0.0,1,large,adult
Chinese Shar-Pei,10,14,Tan,Female,chinese pei shar,61.0,60.875,0.0,1,medium,senior
Poodle,7,42,Black and White,Female,poodle,6.0,7.0,0.0,1,large,adult
Australian Shepherd,10,49,Merle,Female,australian shepherd,12.0,16.0,0.0,1,giant,senior
Jack Russell Terrier,7,22,Tricolor,Female,jack russell terrier,,,,1,medium,adult
Labrador Retriever,5,28,White,Female,labrador retriever,1.0,1.0,0.0,1,large,adult
Miniature Schnauzer,12,40,Brown,Female,miniature schnauzer,19.0,17.5,0.0,1,large,senior
Saint Bernard,2,40,Cream,Female,bernard saint,,,,1,large,adult
Maltese,3,39,Merle,Male,maltese,38.0,33.0,0.0,0,large,adult
Rottweiler,1,25,Spotted,Male,rottweiler,8.0,8.5,0.0,0,large,puppy
Chinese Shar-Pei,1,10,Cream,Female,chinese pei shar,61.0,60.875,0.0,1,small,puppy
Pekingese,11,25,Brindle,Female,pekingese,95.0,86.375,0.0,1,large,senior
Cocker Spaniel,8,11,White,Female,cocker spaniel,30.0,29.375,0.0,1,medium,senior
Cocker Spaniel,7,13,Tricolor,Male,cocker spaniel,30.0,29.375,0.0,0,medium,adult
Chihuahua,3,5,Red,Female,chihuahua,34.0,29.75,0.0,1,small,adult
Bull Terrier,11,49,Brindle,Male,bull terrier,64.0,58.125,0.0,0,giant,senior
Shiba Inu,12,30,Merle,Female,inu shiba,43.0,44.875,0.0,1,large,senior
German Shepherd,10,43,Black and White,Male,german shepherd,3.0,2.125,0.0,0,large,senior
Boxer,11,12,Merle,Male,boxer,14.0,10.625,0.0,0,medium,senior
Shiba Inu,13,14,Brown,Female,inu shiba,43.0,44.875,0.0,1,medium,senior
Schnauzer,14,11,Cream,Female,schnauzer,,,,1,medium,senior
Dachshund,9,34,Bicolor,Female,dachshund,10.0,11.625,0.0,1,large,senior
Papillon,9,10,Red,Male,papillon,53.0,49.375,0.0,0,small,senior
Havanese,3,41,Black and Tan,Male,havanese,24.0,23.75,0.0,0,large,adult
Saint Bernard,2,34,Gray,Female,bernard saint,,,,1,large,adult
Pembroke Welsh Corgi,11,44,White,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,senior
Whippet,13,24,Bicolor,Male,whippet,59.0,58.875,0.0,0,medium,senior
Great Dane,3,52,Tan,Female,dane great,15.0,15.25,0.0,1,giant,adult
Akita,12,27,Merle,Female,akita,48.0,46.5,0.0,1,large,senior
Labrador Retriever,8,8,Sable,Female,labrador retriever,1.0,1.0,0.0,1,small,senior
Labrador Retriever,7,12,Gray,Female,labrador retriever,1.0,1.0,0.0,1,medium,adult
Weimaraner,7,34,Brown,Male,weimaraner,39.0,35.5,0.0,0,large,adult
Dogo Argentino,3,25,Tricolor,Male,argentino dogo,93.0,93.0,0.875,0,large,adult
Poodle,12,13,Tricolor,Female,poodle,6.0,7.0,0.0,1,medium,senior
Bloodhound,2,23,Cream,Male,bloodhound,46.0,49.375,0.0,0,medium,adult
Basenji,6,27,Black,Female,basenji,86.0,86.375,0.0,1,large,adult
Papillon,7,27,Black and White,Female,papillon,53.0,49.375,0.0,1,large,adult
Doberman Pinscher,10,26,Spotted,Female,doberman pinscher,18.0,15.625,0.0,1,large,senior
Australian Shepherd,13,51,Brown,Male,australian shepherd,12.0,16.0,0.0,0,giant,senior
Bulldog,10,44,Brindle,Male,bulldog,5.0,4.625,0.0,0,large,senior
Belgian Malinois,4,39,Brindle,Female,belgian malinoi,37.0,47.875,0.0,1,large,adult
West Highland White Terrier,10,39,Bicolor,Male,highland terrier west white,44.0,41.0,0.0,0,large,senior
Schnauzer,12,21,Spotted,Female,schnauzer,,,,1,medium,senior
German Shepherd,5,18,Brindle,Male,german shepherd,3.0,2.125,0.0,0,medium,adult
German Shepherd,12,33,Brindle,Female,german shepherd,3.0,2.125,0.0,1,large,senior
Bull Terrier,3,18,Gray,Female,bull terrier,64.0,58.125,0.0,1,medium,adult
Belgian Malinois,2,38,Black,Male,belgian malinoi,37.0,47.875,0.0,0,large,adult
Saint Bernard,7,31,Bicolor,Female,bernard saint,,,,1,large,adult
Bloodhound,1,18,Sable,Male,bloodhound,46.0,49.375,0.0,0,medium,puppy
Pembroke Welsh Corgi,3,15,Black and Tan,Male,corgi pembroke welsh,11.0,16.625,0.0,0,medium,adult
Irish Setter,14,28,Red,Female,irish setter,75.0,74.625,0.0,1,large,senior
Miniature Schnauzer,7,26,Gray,Male,miniature schnauzer,19.0,17.5,0.0,0,large,adult
Bichon Frise,4,32,Tan,Male,bichon frise,45.0,44.125,0.0,0,large,adult
Labrador Retriever,8,50,Brown,Female,labrador retriever,1.0,1.0,0.0,1,giant,senior
Chihuahua,6,26,Spotted,Female,chihuahua,34.0,29.75,0.0,1,large,adult
Saint Bernard,14,36,Red,Female,bernard saint,,,,1,large,senior
Dogo Argentino,14,43,Sable,Male,argentino dogo,93.0,93.0,0.875,0,large,senior
Siberian Husky,11,23,Brown,Female,husky siberian,16.0,13.5,0.0,1,medium,senior
West Highland White Terrier,11,32,White,Female,highland terrier west white,44.0,41.0,0.0,1,large,senior
Boston Terrier,3,31,Black and White,Male,boston terrier,21.0,21.625,0.0,0,large,adult
Pembroke Welsh Corgi,7,28,Black,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,adult
Bulldog,7,12,Black and Tan,Female,bulldog,5.0,4.625,0.0,1,medium,adult
Beagle,11,18,Tricolor,Male,beagle,7.0,5.625,0.0,0,medium,senior
Bulldog,12,25,Cream,Female,bulldog,5.0,4.625,0.0,1,large,senior
Jack Russell Terrier,2,35,Gray,Female,jack russell terrier,,,,1,large,adult
Papillon,10,40,Black,Female,papillon,53.0,49.375,0.0,1,large,senior
French Bulldog,11,15,Spotted,Male,bulldog french,2.0,5.75,0.0,0,medium,senior
Siberian Husky,1,40,Blue,Male,husky siberian,16.0,13.5,0.0,0,large,puppy
Weimaraner,2,10,Merle,Female,weimaraner,39.0,35.5,0.0,1,small,adult
Papillon,4,42,White,Female,papillon,53.0,49.375,0.0,1,large,adult
Basenji,4,27,Bicolor,Female,basenji,86.0,86.375,0.0,1,large,adult
